"filename", "language", "JavaScript", "PostCSS", "JavaScript JSX", "Markdown", "JSON", "XML", "HTML", "comment", "blank", "total"
"d:\ecommerce-system\apps\seller-app\.vite\deps\@hookform_resolvers_zod.js", "JavaScript", 149, 0, 0, 0, 0, 0, 0, 5, 1, 155
"d:\ecommerce-system\apps\seller-app\.vite\deps\@tanstack_react-query.js", "JavaScript", 2955, 0, 0, 0, 0, 0, 0, 126, 1, 3082
"d:\ecommerce-system\apps\seller-app\.vite\deps\_metadata.json", "JSON", 0, 0, 0, 0, 128, 0, 0, 0, 0, 128
"d:\ecommerce-system\apps\seller-app\.vite\deps\axios.js", "JavaScript", 2639, 0, 0, 0, 0, 0, 0, 743, 1, 3383
"d:\ecommerce-system\apps\seller-app\.vite\deps\chunk-B-1-B7_t.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 2, 1, 34
"d:\ecommerce-system\apps\seller-app\.vite\deps\core-D_QZK_Gx.js", "JavaScript", 10971, 0, 0, 0, 0, 0, 0, 356, 1, 11328
"d:\ecommerce-system\apps\seller-app\.vite\deps\leaflet.js", "JavaScript", 6745, 0, 0, 0, 0, 0, 0, 7, 1, 6753
"d:\ecommerce-system\apps\seller-app\.vite\deps\lucide-react.js", "JavaScript", 35105, 0, 0, 0, 0, 0, 0, 10511, 1, 45617
"d:\ecommerce-system\apps\seller-app\.vite\deps\package.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\ecommerce-system\apps\seller-app\.vite\deps\react-apexcharts.js", "JavaScript", 26326, 0, 0, 0, 0, 0, 0, 3951, 1, 30278
"d:\ecommerce-system\apps\seller-app\.vite\deps\react-dom-Br2l1Z8p.js", "JavaScript", 170, 0, 0, 0, 0, 0, 0, 14, 1, 185
"d:\ecommerce-system\apps\seller-app\.vite\deps\react-dom_client.js", "JavaScript", 14357, 0, 0, 0, 0, 0, 0, 27, 1, 14385
"d:\ecommerce-system\apps\seller-app\.vite\deps\react-hook-form.js", "JavaScript", 2244, 0, 0, 0, 0, 0, 0, 296, 1, 2541
"d:\ecommerce-system\apps\seller-app\.vite\deps\react-icons_fa.js", "JavaScript", 17835, 0, 0, 0, 0, 0, 0, 7, 1, 17843
"d:\ecommerce-system\apps\seller-app\.vite\deps\react-is-Brv7YZgi.js", "JavaScript", 145, 0, 0, 0, 0, 0, 0, 13, 1, 159
"d:\ecommerce-system\apps\seller-app\.vite\deps\react-leaflet.js", "JavaScript", 575, 0, 0, 0, 0, 0, 0, 71, 1, 647
"d:\ecommerce-system\apps\seller-app\.vite\deps\react-router-dom.js", "JavaScript", 9721, 0, 0, 0, 0, 0, 0, 457, 4, 10182
"d:\ecommerce-system\apps\seller-app\.vite\deps\react-select.js", "JavaScript", 5248, 0, 0, 0, 0, 0, 0, 332, 1, 5581
"d:\ecommerce-system\apps\seller-app\.vite\deps\react.js", "JavaScript", 754, 0, 0, 0, 0, 0, 0, 14, 1, 769
"d:\ecommerce-system\apps\seller-app\.vite\deps\react_jsx-dev-runtime.js", "JavaScript", 190, 0, 0, 0, 0, 0, 0, 14, 1, 205
"d:\ecommerce-system\apps\seller-app\.vite\deps\slugify.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 3, 1, 41
"d:\ecommerce-system\apps\seller-app\.vite\deps\sonner.js", "JavaScript", 940, 0, 0, 0, 0, 0, 0, 3, 1, 944
"d:\ecommerce-system\apps\seller-app\.vite\deps\zod.js", "JavaScript", 2158, 0, 0, 0, 0, 0, 0, 50, 1, 2209
"d:\ecommerce-system\apps\seller-app\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 8, 17
"d:\ecommerce-system\apps\seller-app\eslint.config.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\ecommerce-system\apps\seller-app\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\ecommerce-system\apps\seller-app\package-lock.json", "JSON", 0, 0, 0, 0, 3995, 0, 0, 0, 1, 3996
"d:\ecommerce-system\apps\seller-app\package.json", "JSON", 0, 0, 0, 0, 47, 0, 0, 0, 1, 48
"d:\ecommerce-system\apps\seller-app\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\ecommerce-system\apps\seller-app\public\icons.svg", "XML", 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
"d:\ecommerce-system\apps\seller-app\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ecommerce-system\apps\seller-app\src\App.jsx", "JavaScript JSX", 0, 0, 64, 0, 0, 0, 0, 1, 14, 79
"d:\ecommerce-system\apps\seller-app\src\assets\ordersData.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 238, 40, 325
"d:\ecommerce-system\apps\seller-app\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\ecommerce-system\apps\seller-app\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\ecommerce-system\apps\seller-app\src\components\HomeComponent\FeatureCard.jsx", "JavaScript JSX", 0, 0, 37, 0, 0, 0, 0, 2, 5, 44
"d:\ecommerce-system\apps\seller-app\src\components\HomeComponent\Footer.jsx", "JavaScript JSX", 0, 0, 62, 0, 0, 0, 0, 4, 7, 73
"d:\ecommerce-system\apps\seller-app\src\components\HomeComponent\GrowthTools.jsx", "JavaScript JSX", 0, 0, 46, 0, 0, 0, 0, 6, 6, 58
"d:\ecommerce-system\apps\seller-app\src\components\HomeComponent\HeroSection.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 0, 0, 2, 5, 31
"d:\ecommerce-system\apps\seller-app\src\components\HomeComponent\Navbar.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
"d:\ecommerce-system\apps\seller-app\src\components\HomeComponent\SuccessStories.jsx", "JavaScript JSX", 0, 0, 34, 0, 0, 0, 0, 2, 9, 45
"d:\ecommerce-system\apps\seller-app\src\components\common\Button.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ecommerce-system\apps\seller-app\src\components\common\FileUpload.jsx", "JavaScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 24
"d:\ecommerce-system\apps\seller-app\src\components\common\FormSelect.jsx", "JavaScript JSX", 0, 0, 43, 0, 0, 0, 0, 0, 4, 47
"d:\ecommerce-system\apps\seller-app\src\components\common\Input.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"d:\ecommerce-system\apps\seller-app\src\components\common\Loader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ecommerce-system\apps\seller-app\src\components\common\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ecommerce-system\apps\seller-app\src\components\common\Select.jsx", "JavaScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"d:\ecommerce-system\apps\seller-app\src\components\common\Textarea.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ecommerce-system\apps\seller-app\src\components\navbar\NotificationButton.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"d:\ecommerce-system\apps\seller-app\src\components\navbar\ProfileDropdown.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"d:\ecommerce-system\apps\seller-app\src\components\navbar\SearchBox.jsx", "JavaScript JSX", 0, 0, 8, 0, 0, 0, 0, 0, 4, 12
"d:\ecommerce-system\apps\seller-app\src\components\navbar\SellerNavbar.jsx", "JavaScript JSX", 0, 0, 57, 0, 0, 0, 0, 5, 29, 91
"d:\ecommerce-system\apps\seller-app\src\components\orders\BulkActions.jsx", "JavaScript JSX", 0, 0, 58, 0, 0, 0, 0, 0, 12, 70
"d:\ecommerce-system\apps\seller-app\src\components\orders\GenerateShipmentModal.jsx", "JavaScript JSX", 0, 0, 102, 0, 0, 0, 0, 0, 27, 129
"d:\ecommerce-system\apps\seller-app\src\components\orders\OrderDrawer.jsx", "JavaScript JSX", 0, 0, 101, 0, 0, 0, 0, 0, 39, 140
"d:\ecommerce-system\apps\seller-app\src\components\orders\OrderFilters.jsx", "JavaScript JSX", 0, 0, 182, 0, 0, 0, 0, 154, 94, 430
"d:\ecommerce-system\apps\seller-app\src\components\orders\OrderRow.jsx", "JavaScript JSX", 0, 0, 476, 0, 0, 0, 0, 233, 155, 864
"d:\ecommerce-system\apps\seller-app\src\components\orders\OrderSidebar.jsx", "JavaScript JSX", 0, 0, 50, 0, 0, 0, 0, 0, 19, 69
"d:\ecommerce-system\apps\seller-app\src\components\orders\OrderStats.jsx", "JavaScript JSX", 0, 0, 142, 0, 0, 0, 0, 140, 47, 329
"d:\ecommerce-system\apps\seller-app\src\components\orders\OrdersTable.jsx", "JavaScript JSX", 0, 0, 257, 0, 0, 0, 0, 141, 85, 483
"d:\ecommerce-system\apps\seller-app\src\components\orders\Pagination.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ecommerce-system\apps\seller-app\src\components\orders\ProductPreview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\ecommerce-system\apps\seller-app\src\components\orders\StatusBadge.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"d:\ecommerce-system\apps\seller-app\src\components\product\CreatableBrandSelect.jsx", "JavaScript JSX", 0, 0, 26, 0, 0, 0, 0, 2, 2, 30
"d:\ecommerce-system\apps\seller-app\src\components\product\ProductStepper.jsx", "JavaScript JSX", 0, 0, 115, 0, 0, 0, 0, 2, 17, 134
"d:\ecommerce-system\apps\seller-app\src\components\product\Step1BasicInfo.jsx", "JavaScript JSX", 0, 0, 168, 0, 0, 0, 0, 23, 31, 222
"d:\ecommerce-system\apps\seller-app\src\components\product\Step2ProductDetails.jsx", "JavaScript JSX", 0, 0, 85, 0, 0, 0, 0, 0, 4, 89
"d:\ecommerce-system\apps\seller-app\src\components\product\Step3Specification.jsx", "JavaScript JSX", 0, 0, 100, 0, 0, 0, 0, 91, 33, 224
"d:\ecommerce-system\apps\seller-app\src\components\product\Step4Variants.jsx", "JavaScript JSX", 0, 0, 370, 0, 0, 0, 0, 453, 143, 966
"d:\ecommerce-system\apps\seller-app\src\components\product\Step5Review.jsx", "JavaScript JSX", 0, 0, 183, 0, 0, 0, 0, 11, 28, 222
"d:\ecommerce-system\apps\seller-app\src\components\product\Step5SEO.jsx", "JavaScript JSX", 0, 0, 68, 0, 0, 0, 0, 0, 3, 71
